MRN,Last Name,First Name,DOB,Sex,Email,Insurance,Member #,Coverage Start,Coverage End,Allergies,SSN,Problem List
205752,Bergstrom,Nora,2007-09-12,F,nora.bergstrom@example.com,Aetna,W6903537,2025-07-07,,Peanuts; Shellfish,900-18-3415,J45.909
205753,Baptiste,Femi,1995-08-29,MALE,femi.baptiste@example.com,Self Pay,,,,,900-40-8106,E11.9
205754,Ionescu,Piotr,1957-03-21,M,piotr.ionescu@example.org,Medicare,1EG41925528,2024-09-05,,Penicillin; Sulfa drugs,900-27-3130,
205755,Bergstrom,Sigrid,1956-09-17,F,sigrid.bergstrom@mail.example.net,Blue Cross Blue Shield of Texas,ZGP3910621,2023-03-04,,Penicillin,900-35-6573,
205756,Alvarez,Sigrid,1991-11-12,F,sigrid.alvarez@example.com,Aetna,W4900399,2024-09-13,,Penicillin,900-77-5458,E11.9; I10
205757,Mbeki,Bjorn,10/14/62,M,bjorn.mbeki@example.com,Cigna,U6621149,2026-03-31,,Sulfa drugs; NSAIDs,,I10
205758,Sandoval,Ruben,2001-11-02,M,ruben.sandoval@example.com,Medicare,1EG48285157,2024-03-19,,,900-29-2492,I10
205759,Escobar,Everett,2012-09-06,M,everett.escobar@example.com,Self Pay,,,,Peanuts; Shellfish,900-47-2045,E11.9
205760,Alvarez,Ruben,1965-05-15,M,ruben.alvarez@mail.example.net,Cigna,U7999329,2024-03-05,,Penicillin,900-50-3413,E11.9
205761,Marchetti,Beatriz,1935-05-14,F,beatriz.marchetti@example.com,United Healthcare,97067911,2025-07-03,,,900-58-2746,
205762,Halvorsen,Sigrid,2/15/10,,sigrid.halvorsen@example.com,BCBS TX,ZGP9370622,2025-09-06,,Shellfish,,E11.9; I10
205763,Fitzgerald,Ximena,1986-08-10,F,ximena.fitzgerald@example.com,Cigna,U6440228,2025-04-08,,Penicillin,900-35-7961,I10
205764,Aguilar,Everett,2018-06-02,M,everett.aguilar@example.com,Blue Cross Blue Shield of Texas,ZGP6970242,2024-02-14,2025-04-22,Sulfa drugs; NSAIDs,900-97-1596,
205765,Ridley,Wendell,2012-07-11,M,,AETNA,W6031767,2024-07-03,,NSAIDs; Peanuts,,E11.9; I10
205766,Achebe,Margot,1974-09-05,F,margot.achebe@example.org,Cigna,U7190128,2024-11-23,,PCN,,I10; J45.909
205767,Vasquez,Mateo,1939-02-27,M,mateo.vasquez@example.com,Aetna,W3628694,2025-10-08,,,900-60-4375,I10
205768,Achebe,Anya,1939-10-10,F,anya.achebe@example.org,Aetna,W2403085,2024-04-01,,,900-18-8683,
205769,Thorne,Rosa,2007-07-28,F,rosa.thorne@example.com,AETNA,W7199969,2025-09-07,,Penicillin,900-32-7622,I10
205770,Fitzgerald,Anya,1946-05-10,F,anya.fitzgerald@example.com,Blue Cross Blue Shield of Texas,ZGP4674664,2023-05-18,,Sulfa drugs; NSAIDs,900-22-8165,
205771,Moreau,Rosa,1991-08-05,F,rosa.moreau@example.org,Medicare,1EG45361332,2024-03-06,,Latex,900-48-6798,
205772,Nguyen,Chidi,1942-06-01,M,chidi.nguyen@example.org,Self Pay,,,,NSAIDs; Peanuts,900-97-1341,E11.9; I10
205773,Baptiste,Bjorn,1998-09-11,M,bjorn.baptiste@mail.example.net,Self Pay,,,,Latex,,
205774,Petrov,Ines,11/19/59,F,ines.petrov@example.com,United Healthcare,96891866,2026-05-17,,Penicillin; Sulfa drugs,900-57-4401,I10
205775,Ionescu,Haruki,9/18/49,M,haruki.ionescu@mail.example.net,Cigna,U9832668,2026-05-11,2026-12-20,NKDA,900-13-5594,I10
205776,Sandoval,Luz,1948-08-22,F,,Self Pay,,,,NKDA,900-61-8343,I10
205777,Yamada,Vera,3/13/19,F,vera.yamada@example.com,Aetna,W1386036,2023-06-26,,Penicillin; Sulfa drugs,900-62-3976,
205778,Aguilar,Adriana,10/30/98,F,adriana.aguilar@mail.example.net,United Healthcare,96058236,2025-03-05,2025-04-19,Penicillin; Sulfa drugs,900-38-9650,I10; J45.909
205779,Alvarez,Camila,2018-06-02,F,camila.alvarez@example.com,Blue Cross Blue Shield of Texas,ZGP2386419,2025-10-02,,Contrast dye; Latex,900-88-8460,E11.9
205780,Novotny,Chidi,1938-10-20,M,chidi.novotny@example.com,Humana,H1951748,2025-11-22,,Penicillin; Sulfa drugs,900-37-5645,I10
205781,Petrov,Sigrid,1965-09-02,F,,United Healthcare,91451234,2025-09-21,2026-05-06,Penicillin; Peanuts; Latex,,
205782,Baptiste,Ruben,1997-01-29,MALE,ruben.baptiste@mail.example.net,Aetna,W9654066,2023-01-04,,Penicillin,900-93-8889,E11.9
205783,Mbeki,Giulia,1951-10-02,Female,giulia.mbeki@mail.example.net,Self Pay,,,,"Latex, Penicillin",900-99-1238,
205784,Alvarez,Camila,1959-09-03,F,camila.alvarez@mail.example.net,Aetna,W2189890,2023-10-27,2024-11-16,Peanuts; Shellfish,900-51-2122,
205785,Baptiste,Chidi,1977-01-10,MALE,chidi.baptiste@example.com,Blue Cross Blue Shield of Texas,ZGP5102863,2024-12-21,,NKDA,900-48-7499,E11.9; I10
205786,Hollis,Vera,1965-04-26,F,vera.hollis@example.com,Medicare,1EG48888728,2025-03-15,,Penicillin,900-59-9289,E11.9
205787,Aguilar,Camila,2001-04-17,F,camila.aguilar@mail.example.net,Aetna,W3707999,2024-11-05,,NKDA,900-22-7853,
205788,Thorne,Anya,10/26/33,Female,anya.thorne@example.com,Aetna,W4580566,2023-07-25,2025-04-13,Penicillin,900-64-9553,
205789,Okafor,Beatriz,1997-02-19,F,beatriz.okafor@example.com,Medicare,1EG43924453,2023-05-15,,NKDA,900-87-1744,E11.9
205790,Thorne,Everett,1984-01-31,M,everett.thorne@example.com,Medicare,1EG43168197,2025-10-20,,,900-70-4910,I10
205791,Fitzgerald,Naledi,1977-12-22,F,naledi.fitzgerald@example.com,Humana,H9380524,2025-03-05,,Penicillin,900-71-6674,
205792,Novotny,Giulia,2018-12-11,F,giulia.novotny@example.com,Aetna,W3156170,2024-01-28,,,900-38-3924,E11.9; I10
205793,Whitfield,Giulia,1941-04-20,F,giulia.whitfield@example.com,Blue Cross Blue Shield of Texas,ZGP1794201,2023-03-17,2025-05-23,PCN,900-26-1408,
205794,Ionescu,Rosa,1988-01-10,F,rosa.ionescu@mail.example.net,Blue Cross Blue Shield of Texas,ZGP6972287,2026-01-05,,,900-76-1116,J45.909
205795,Ionescu,Anya,1971-11-30,F,anya.ionescu@example.com,Aetna,W5881447,2025-03-02,,Latex,900-60-4626,E11.9; I10
205796,Ridley,Ximena,2015-05-08,,ximena.ridley@example.com,UHC,98461657,2023-04-14,,NKDA,900-10-1750,E11.9
205797,Bergstrom,Mateo,1935-01-18,M,mateo.bergstrom@example.com,Self Pay,,,,Penicillin,900-26-5824,I10
205798,Escobar,Giulia,2007-11-13,F,,Medicare,1EG46048380,2024-03-24,,Penicillin,,I10
205799,Vasquez,Cordelia,1995-12-17,F,cordelia.vasquez@example.com,AETNA,W6808692,2023-02-07,,"Latex, Penicillin",900-81-2870,
205800,Baptiste,Haruki,2011-07-17,M,,UHC,94659678,2023-02-19,,NKDA,900-26-5211,I10
205801,Aguilar,Sigrid,2022-10-28,Female,sigrid.aguilar@example.com,Self Pay,,,,,900-43-7712,I10
205802,Alvarez,Camila,1975-07-16,F,camila.alvarez@example.com,Humana,H1360335,2025-02-02,,NKDA,900-47-5081,
205803,Ramirez,Beatriz,6/7/80,Female,beatriz.ramirez@example.org,Humana,H8915540,2023-05-24,,"Latex, Penicillin",900-27-1381,E11.9
205804,Petrov,Bjorn,1977-09-02,m,bjorn.petrov@example.com,United Healthcare,95975011,2023-02-01,,PCN,900-11-9774,I10; J45.909
205805,Mbeki,Everett,1933-06-17,M,,Blue Cross Blue Shield of Texas,ZGP3578214,2023-08-27,,Penicillin; Sulfa drugs,900-10-7052,E11.9
205806,Lindqvist,Cordelia,1942-05-31,F,cordelia.lindqvist@example.com,BCBS TX,ZGP2318582,2024-12-03,,,900-11-8639,I10
205807,Ionescu,Margot,7/17/68,F,margot.ionescu@example.com,Cigna,U7543041,2025-03-26,,,,I10
205808,Delacroix,Nora,1942-08-16,Female,nora.delacroix@example.org,AETNA,W2691175,2024-07-05,,Contrast dye; Latex,900-59-6732,
205809,Castellanos,Margot,1935-10-14,Female,margot.castellanos@example.org,Blue Cross Blue Shield of Texas,ZGP5998364,2023-02-25,,Penicillin,900-71-4336,E11.9
205810,Achebe,Piotr,1968-02-26,M,piotr.achebe@,Blue Cross Blue Shield of Texas,ZGP7759002,2024-06-13,,Shellfish,900-65-9393,E11.9; I10
205811,Alvarez,Julien,1966-06-03,MALE,julien.alvarez@mail.example.net,Medicare,1EG47834654,2026-03-12,,Penicillin,900-90-6219,I10
205812,Ramirez,Julien,1956-01-17,M,julien.ramirez@example.org,Medicare,1EG47707563,2025-04-13,,,900-26-5599,
205813,Thorne,Sigrid,1983-10-20,Female,sigrid.thorne@example.com,Blue Cross Blue Shield of Texas,ZGP4479768,2024-11-12,,Shellfish,900-59-8036,E11.9; I10
205814,Aguilar,Alden,11/19/61,M,alden.aguilar@,Self Pay,,,,Contrast dye; Latex,900-28-7349,
205815,Okafor,Giulia,1953-08-04,F,giulia.okafor@example.com,United Healthcare,95456176,2025-04-26,,NSAIDs; Peanuts,900-71-6697,E11.9
205816,Lindqvist,Giulia,1959-08-04,F,giulia.lindqvist@example.com,Aetna,W2564854,2023-08-01,,Contrast dye; Latex,900-63-5927,E11.9; I10
205817,Baptiste,Camila,1951-12-14,f,,Medicare,1EG43594015,2024-08-07,,,900-97-1893,
205818,Petrov,Piotr,1986-08-13,M,piotr.petrov@mail.example.net,Aetna,W2440752,2023-11-17,,PCN,900-96-4715,E11.9; I10
205819,Yamada,Giulia,1965-03-08,Female,giulia.yamada@example.com,Medicare,1EG44219152,2024-01-05,,,900-73-4651,E11.9; I10
205820,Mbeki,Rosa,2015-02-20,F,,Aetna,W7370040,2023-02-06,2024-07-22,,900-82-3687,J45.909
205821,Ionescu,Haruki,1947-04-06,M,haruki.ionescu@mail.example.net,Cigna,U7744307,2025-08-26,,,,I10
205822,Halvorsen,Emile,1992-10-08,M,,United Healthcare,92460246,2025-05-17,,,,
205823,Novotny,Ruben,1950-01-25,M,ruben.novotny@mail.example.net,Aetna,W4992947,2023-10-01,,Penicillin; Peanuts; Latex,900-36-9656,I10
205824,Lindqvist,Giulia,1973-04-15,F,giulia.lindqvist@example.com,Humana,H9248861,2025-01-29,,,900-52-5979,
205825,Bergstrom,Haruki,1956-07-26,M,haruki.bergstrom@,BCBS TX,ZGP1816727,2024-09-05,,Latex,900-73-3352,
205826,Nguyen,Alden,1997-06-24,M,alden.nguyen@mail.example.net,AETNA,W7514471,2024-06-15,,Penicillin; Peanuts; Latex,900-92-5939,
205827,Castellanos,Cordelia,1979-03-21,Female,cordelia.castellanos@mail.example.net,Blue Cross Blue Shield of Texas,ZGP1832734,2025-08-14,,Latex,900-84-1115,E11.9
205828,Lindqvist,Julien,1966-01-14,M,julien.lindqvist@mail.example.net,Self Pay,,,,Latex,900-12-7711,E11.9
205829,Castellanos,Haruki,1961-12-05,MALE,haruki.castellanos@example.com,Blue Cross Blue Shield of Texas,ZGP3936634,2026-06-27,,,900-33-5354,E11.9
205830,Achebe,Sigrid,1974-04-08,F,sigrid.achebe@mail.example.net,Cigna,U7390565,2024-03-14,2024-11-14,,900-91-6407,I10
205831,Ionescu,Nora,1949-07-25,Female,nora.ionescu@example.com,Self Pay,,,,,900-59-9220,
205832,Ferreira,Wendell,1965-09-14,M,,Aetna,W7722888,2025-05-09,,,900-76-8764,J45.909
205833,Aguilar,Rosa,1/18/74,F,rosa.aguilar@example.com,Aetna,W2612030,2024-01-06,,,900-59-7837,
205834,Marchetti,Luz,1973-10-24,F,,UHC,98842019,2024-12-09,2026-11-07,Peanuts; Shellfish,900-71-7546,
205835,Hollis,Ines,1968-12-01,Female,,Medicare,1EG46374112,2023-04-28,,NKDA,900-23-2553,E11.9; I10; J45.909
205836,Bergstrom,Ximena,6/9/93,Female,ximena.bergstrom@example.com,BCBS TX,ZGP7903392,2024-06-13,,"Latex, Penicillin",900-96-3362,
205837,Thorne,Thanh,1963-02-15,F,thanh.thorne@mail.example.net,Self Pay,,,,,900-63-4533,I10; J45.909
205838,Ionescu,Camila,1964-10-16,F,camila.ionescu@mail.example.net,Cigna,U4876738,2023-12-16,,,900-21-8785,E11.9; I10; J45.909
205839,Okafor,Piotr,2007-01-25,MALE,,Blue Cross Blue Shield of Texas,ZGP2743529,2024-06-18,,,900-30-7811,E11.9
205840,Achebe,Sigrid,1937-10-04,F,sigrid.achebe@example.org,Aetna,W3422626,2025-11-11,2027-07-30,NSAIDs; Peanuts,900-29-7814,J45.909
205841,Achebe,Luz,1943-12-06,F,luz.achebe@mail.example.net,Humana,H5778321,2025-09-25,2027-10-26,Penicillin; Sulfa drugs,900-44-2387,E11.9; I10; J45.909
205842,Ferreira,Beatriz,1931-07-10,F,beatriz.ferreira@example.com,Blue Cross Blue Shield of Texas,ZGP5869340,2025-09-17,,NKDA,900-39-7394,E11.9; I10
205843,Achebe,Ines,1947-12-15,Female,ines.achebe@example.com,Cigna,U8548226,2023-04-19,2024-11-27,Shellfish,900-19-6067,I10; J45.909
205844,Yamada,Sigrid,1934-05-13,F,sigrid.yamada@example.com,AETNA,W5340534,2024-05-04,,,900-52-4593,E11.9
205845,Thorne,Piotr,2019-07-02,M,piotr.thorne@example.com,Aetna,W5173957,2026-02-27,,Peanuts; Shellfish,900-19-5123,J45.909
205846,Moreau,Beatriz,11/3/39,F,beatriz.moreau@example.com,BCBS TX,ZGP4236976,2024-06-10,,,900-18-6378,I10; J45.909
205847,Moreau,Ximena,1963-03-25,Non-binary,ximena.moreau@example.com,Blue Cross Blue Shield of Texas,ZGP7376305,2023-08-05,,NKDA,900-38-7637,
205848,Ferreira,Anya,2012-01-20,F,anya.ferreira@example.org,Self Pay,,,,,900-51-3039,E11.9
205849,Osei,Bjorn,1947-01-03,M,bjorn.osei@example.com,Aetna,W9145355,2026-03-24,,Sulfa drugs; NSAIDs,900-34-5154,
205850,Delacroix,Everett,1978-09-07,M,everett.delacroix@example.com,BCBS TX,ZGP6629128,2024-11-03,,Latex,900-66-2328,
205851,Nguyen,Adriana,1966-06-10,F,adriana.nguyen@example.com,BCBS TX,ZGP5574556,2024-05-19,,NSAIDs; Peanuts,900-52-6802,E11.9; I10
205852,Lindqvist,Wendell,2015-04-17,M,wendell.lindqvist@example.com,BCBS TX,ZGP8339106,2025-07-05,,,900-31-4396,
205853,Halvorsen,Adriana,1982-02-20,F,adriana.halvorsen@mail.example.net,Medicare,1EG46876832,2023-05-11,,,900-30-2112,
205854,Halvorsen,Wendell,2002-02-13,M,wendell.halvorsen@example.com,Self Pay,,,,PCN,900-78-9934,E11.9; I10
205855,Delacroix,Piotr,2023-10-02,MALE,piotr.delacroix@example.org,UHC,99409417,2024-10-24,,Latex,900-10-3361,
205856,Achebe,Everett,1988-09-17,M,,Cigna,U7978679,2023-12-07,,Contrast dye; Latex,900-99-8662,I10
205857,Halvorsen,Bjorn,1940-07-30,M,bjorn.halvorsen@example.com,Cigna,U5268825,2023-07-12,,Peanuts; Shellfish,900-29-2258,
205858,Yamada,Adriana,2001-05-09,F,,Self Pay,,,,Peanuts; Shellfish,900-92-8775,I10; J45.909
205859,Halvorsen,Emile,1968-02-21,M,,Blue Cross Blue Shield of Texas,ZGP4813077,2026-03-15,2024-02-01,"Latex, Penicillin",900-86-2600,I10
205860,Halvorsen,Anya,1979-10-10,F,anya.halvorsen@example.com,Medicare,1EG46700536,2023-05-03,,PCN,,I10; J45.909
205861,Nguyen,Rosa,1934-02-25,F,,Aetna,W7066905,2023-11-11,,,900-37-1574,J45.909
205862,Novotny,Ximena,1941-07-28,,ximena.novotny@example.org,Medicare,1EG43106379,2024-12-18,,NSAIDs; Peanuts,900-60-2133,
205863,Ionescu,Femi,1952-12-26,M,,Humana,H2000458,2023-02-07,,NKDA,900-92-1161,E11.9; I10; J45.909
205864,Vasquez,Emile,1955-07-12,M,,Aetna,W6630428,2025-07-29,,Sulfa drugs; NSAIDs,900-85-6655,
205865,Ionescu,Haruki,2017-02-04,M,haruki.ionescu@example.com,Blue Cross Blue Shield of Texas,ZGP9571278,2024-02-11,,NSAIDs; Peanuts,900-89-9303,E11.9
205866,Osei,Emile,1981-11-15,M,emile.osei@example.com,Cigna,U4353740,2024-05-25,,NKDA,900-92-6452,E11.9
205867,Vasquez,Rosa,2005-01-13,Female,,Aetna,W7941514,2024-07-15,,Penicillin,900-62-5429,I10
205868,Ferreira,Wendell,2001-11-03,M,wendell.ferreira@example.com,Medicare,1EG43636260,2024-04-29,,PCN,900-32-8289,
205869,Castellanos,Emile,1934-12-23,M,,Self Pay,,,,Sulfa drugs; NSAIDs,900-21-1123,E11.9
205870,Yamada,Beatriz,1973-12-22,F,beatriz.yamada@example.com,BCBS TX,ZGP2021852,2026-04-11,,"Latex, Penicillin",900-56-7527,E11.9; I10
205871,Fitzgerald,Alden,1933-10-27,M,alden.fitzgerald@mail.example.net,BCBS TX,ZGP2247896,2024-10-12,2025-04-12,Sulfa drugs; NSAIDs,900-77-8751,I10
205872,Fitzgerald,Nora,4/22/38,F,nora.fitzgerald@example.com,Self Pay,,,,Penicillin,,E11.9
205873,Alvarez,Julien,7/11/75,MALE,julien.alvarez@example.com,Medicare,1EG43675133,2023-12-14,2024-08-24,,900-45-4433,E11.9; I10
205874,Vasquez,Vera,1945-01-28,,vera.vasquez@mail.example.net,United Healthcare,98355745,2024-09-19,,Contrast dye; Latex,900-97-9660,I10
205875,Ridley,Wendell,1952-07-17,M,wendell.ridley@example.com,Aetna,W8192316,2025-12-15,,,900-16-1367,E11.9
205876,Petrov,Anya,2002-04-21,f,anya.petrov@example.com,Blue Cross Blue Shield of Texas,ZGP2646990,2026-01-29,,,900-76-8744,I10
205877,Lindqvist,Elsa,2013-02-16,F,elsa.lindqvist@example.org,Aetna,W9534517,2025-11-28,,,900-72-3679,E11.9; I10; J45.909
205878,Novotny,Rosa,1981-09-23,F,rosa.novotny@mail.example.net,Self Pay,,,,Penicillin,,E11.9; I10
205879,Osei,Luz,2017-03-09,F,luz.osei@example.com,Medicare,1EG47484912,2025-12-02,,,900-79-4305,E11.9
205880,Sandoval,Emile,8/25/95,MALE,emile.sandoval@mail.example.net,Medicare,1EG47306794,2024-03-04,,Latex,900-83-6576,
205881,Okafor,Ximena,2020-08-24,F,,Humana,H2401190,2024-08-17,,Latex,900-26-7925,E11.9; I10
205882,Ramirez,Thanh,1941-04-25,F,thanh.ramirez@example.com,Medicare,1EG43680080,2023-12-22,,,900-95-6913,
205883,Hollis,Wendell,1958-12-29,M,wendell.hollis@example.org,Self Pay,,,,Penicillin,900-96-5816,E11.9
205884,Marchetti,Adriana,1979-03-09,F,adriana.marchetti@example.com,United Healthcare,97899060,2024-01-25,,,,I10
205885,Kowalski,Haruki,1958-02-11,M,haruki.kowalski@example.com,Self Pay,,,,PCN,900-90-3950,E11.9
205886,Aguilar,Vera,1988-08-13,F,vera.aguilar@example.com,Aetna,W3866384,2025-06-26,2023-06-04,,900-46-1148,E11.9; I10
205887,Okafor,Julien,1953-07-07,MALE,julien.okafor@example.com,Cigna,U4496703,2024-04-11,,NSAIDs; Peanuts,900-72-8907,J45.909
205888,Achebe,Emile,1945-10-05,m,emile.achebe@example.com,Aetna,W2166219,2024-12-21,,,900-48-1633,E11.9
205889,Okafor,Cordelia,2005-07-16,F,,BCBS TX,ZGP4921853,2025-07-02,,Latex,900-32-4037,E11.9
205890,Lindqvist,Everett,1937-07-21,MALE,everett.lindqvist@example.com,United Healthcare,98979265,2023-10-27,,,900-27-8434,J45.909
205891,Novotny,Vera,1977-12-25,F,vera.novotny@example.org,AETNA,W9610471,2025-10-08,,NSAIDs; Peanuts,900-68-3118,
205892,Mbeki,Naledi,1944-04-16,F,naledi.mbeki@example.com,Cigna,U5334160,2024-12-26,,,900-23-3920,E11.9; I10
205893,Ferreira,Ximena,2/23/31,F,ximena.ferreira@example.com,Humana,H8285956,2025-08-30,2027-04-20,Penicillin,900-55-7225,J45.909
205894,Bergstrom,Cordelia,1983-05-14,F,cordelia.bergstrom@example.com,BCBS TX,ZGP9634151,2026-03-04,,"Latex, Penicillin",900-83-1770,I10
205895,Aguilar,Thanh,2011-11-01,f,thanh.aguilar@example.com,Self Pay,,,,NSAIDs; Peanuts,900-99-2174,I10; J45.909
205896,Escobar,Cordelia,8/1/87,Female,cordelia.escobar@example.org,Humana,H6015018,2025-10-13,,,900-35-4571,
205897,Marchetti,Alden,1935-11-16,M,alden.marchetti@example.org,Blue Cross Blue Shield of Texas,ZGP2372045,2025-05-26,,NKDA,900-12-1832,
205898,Fitzgerald,Adriana,1984-07-16,Female,adriana.fitzgerald@example.com,BCBS TX,ZGP5862574,2023-03-04,2024-11-13,NKDA,900-52-2010,I10
205899,Vasquez,Luz,2005-08-08,F,luz.vasquez@example.com,Aetna,W7252429,2023-09-05,,Penicillin; Sulfa drugs,,I10
205900,Bergstrom,Ximena,2016-07-28,F,ximena.bergstrom@example.com,Humana,H6288160,2025-04-16,,Penicillin,900-27-9064,E11.9
205901,Fitzgerald,Cordelia,1978-12-09,Female,cordelia.fitzgerald@example.com,Aetna,W5247830,2025-04-07,,Sulfa drugs; NSAIDs,900-90-7805,E11.9; I10
205902,,Mateo,1963-06-13,M,mateo.kowalski@example.org,Humana,H2217051,2023-11-09,,NKDA,900-11-2573,
205903,Kowalski,Anya,1958-05-12,Female,,Aetna,W4969482,2025-12-18,,PCN,,I10
205904,Fitzgerald,Everett,1963-07-03,M,everett.fitzgerald@mail.example.net,Self Pay,,,,Sulfa drugs; NSAIDs,900-16-6735,
205905,Marchetti,Rosa,1941-04-15,F,rosa.marchetti@mail.example.net,Medicare,1EG44709627,2023-09-24,2023-12-25,NKDA,900-42-9208,
205906,Baptiste,Cordelia,1976-09-27,F,cordelia.baptiste@example.com,Cigna,U7317298,2024-11-05,,Latex,900-35-3715,E11.9
205907,Sandoval,Ines,4/29/82,F,ines.sandoval@mail.example.net,United Healthcare,97922461,2025-05-02,,,900-25-9275,J45.909
205908,Marchetti,Adriana,1966-09-26,F,adriana.marchetti@mail.example.net,Blue Cross Blue Shield of Texas,ZGP1338190,2024-04-11,,,900-14-1180,
205909,Ferreira,Ruben,1967-09-19,M,ruben.ferreira@mail.example.net,Humana,H1361004,2026-03-13,2027-09-05,,,E11.9
205910,Thorne,Nora,1978-07-02,F,nora.thorne@example.com,Self Pay,,,,Penicillin; Sulfa drugs,900-93-7042,E11.9; I10
205911,Hollis,Chidi,2010-09-12,M,chidi.hollis@example.com,Aetna,W2954052,2025-07-27,,Penicillin; Sulfa drugs,900-53-5778,J45.909
205912,Ionescu,Margot,1991-02-11,F,margot.ionescu@mail.example.net,Medicare,1EG45361265,2023-02-09,,NKDA,900-10-6859,I10
205913,Hollis,Giulia,2014-09-12,F,giulia.hollis@mail.example.net,Blue Cross Blue Shield of Texas,ZGP8652486,2024-07-23,,Penicillin; Sulfa drugs,900-70-4944,
205914,Achebe,Everett,2002-08-20,M,everett.achebe@example.com,United Healthcare,91945151,2026-06-22,2028-10-30,,900-30-6562,E11.9
205915,Novotny,Nora,1982-09-09,F,nora.novotny@example.org,United Healthcare,93723696,2023-01-16,,,900-34-6910,E11.9
205916,Thorne,Luz,1954-02-23,F,luz.thorne@example.org,Self Pay,,,,Penicillin,900-20-6677,I10; J45.909
205917,Alvarez,Ines,1945-03-04,F,ines.alvarez@mail.example.net,Aetna,W5468709,2024-06-17,,,900-98-5618,J45.909
205918,Ionescu,Chidi,1981-03-28,MALE,chidi.ionescu@mail.example.net,Humana,H4313108,2024-07-22,2026-06-13,Penicillin,900-70-7653,I10; J45.909
205919,Kowalski,Femi,1990-11-02,M,femi.kowalski@example.com,Self Pay,,,,,900-24-1516,J45.909
205920,Bergstrom,Alden,2/5/07,M,,BCBS TX,ZGP9196111,2023-08-23,,NKDA,,
205921,Hollis,Julien,2005-02-15,M,julien.hollis@example.com,Medicare,1EG48082186,2025-12-27,,Penicillin; Sulfa drugs,900-47-2013,E11.9
205922,Mbeki,Beatriz,1999-08-28,F,,Aetna,W3815678,2023-06-04,2023-08-17,Shellfish,900-56-7539,E11.9
205923,Kowalski,Julien,1982-09-11,M,julien.kowalski@example.com,Medicare,1EG48422160,2024-06-10,,Penicillin; Peanuts; Latex,900-75-7021,I10; J45.909
205924,Marchetti,Haruki,1968-12-28,M,haruki.marchetti@mail.example.net,Medicare,1EG49984307,2023-05-04,,Peanuts; Shellfish,900-67-7667,
205925,Achebe,Mateo,1934-05-24,M,mateo.achebe@example.com,BCBS TX,ZGP3217431,2025-10-24,2026-07-09,NKDA,900-60-4859,I10
205926,Whitfield,Sigrid,2003-09-22,F,sigrid.whitfield@example.com,Self Pay,,,,PCN,,I10
205927,Ionescu,Haruki,1967-09-12,MALE,haruki.ionescu@example.com,Aetna,W5866733,2024-08-27,,Penicillin; Sulfa drugs,900-30-2304,
205928,Hollis,Cordelia,1993-07-06,F,,Self Pay,,,,Latex,900-78-2887,
205929,Sandoval,Everett,2001-04-30,M,everett.sandoval@example.com,Medicare,1EG42395872,2023-04-26,,,900-30-5056,
205930,Whitfield,Giulia,1991-08-30,f,giulia.whitfield@example.com,Aetna,W4857233,2024-07-09,,,900-53-2166,E11.9; I10
205931,Fitzgerald,Cordelia,2019-06-09,F,cordelia.fitzgerald@mail.example.net,Blue Cross Blue Shield of Texas,ZGP2886923,2025-09-28,,NKDA,900-90-6935,E11.9
205932,Fitzgerald,Chidi,1/23/78,M,chidi.fitzgerald@example.org,Blue Cross Blue Shield of Texas,ZGP2593550,2026-04-28,,Contrast dye; Latex,900-52-2650,
205933,Castellanos,Julien,11/25/94,M,julien.castellanos@example.org,Aetna,W3240742,2025-04-21,2026-10-02,,900-42-4091,
205934,Petrov,Everett,1972-04-21,M,everett.petrov@example.com,UHC,99442802,2026-05-22,,,900-29-1534,
205935,Petrov,Bjorn,1960-11-29,m,,Blue Cross Blue Shield of Texas,ZGP2087180,2024-11-05,,Shellfish,900-96-1235,J45.909
205936,Delacroix,Haruki,1938-03-12,M,haruki.delacroix@example.com,Aetna,W5555703,2023-06-10,,,900-64-5448,
205937,Moreau,Bjorn,1990-08-25,M,bjorn.moreau@example.com,Blue Cross Blue Shield of Texas,ZGP8939398,2024-04-14,2024-12-30,"Latex, Penicillin",900-42-3084,E11.9; I10; J45.909
205938,Escobar,Vera,1979-12-16,F,vera.escobar@example.org,Cigna,U3724092,2023-09-01,2025-11-08,Penicillin,900-55-3277,I10
205939,Ramirez,Elsa,1966-04-17,F,elsa.ramirez@example.com,United Healthcare,96374022,2023-07-31,,Penicillin,900-54-6459,I10
205940,Fitzgerald,Luz,1936-01-31,F,,Blue Cross Blue Shield of Texas,ZGP6767782,2025-10-18,,Penicillin; Sulfa drugs,900-52-9264,E11.9
205941,Alvarez,Camila,2018-02-05,Female,camila.alvarez@example.com,Blue Cross Blue Shield of Texas,ZGP6388070,2023-08-31,2021-04-06,NSAIDs; Peanuts,,
205942,Petrov,Julien,1948-12-03,M,julien.petrov@example.com,Humana,H9631162,2023-02-27,2024-11-27,NSAIDs; Peanuts,900-83-7031,E11.9; I10; J45.909
205943,Aguilar,Sigrid,1947-02-07,Non-binary,sigrid.aguilar@example.com,Blue Cross Blue Shield of Texas,ZGP3030190,2024-12-14,,,900-18-8531,
205944,Osei,Femi,1949-06-24,MALE,femi.osei@example.org,Cigna,U4266995,2026-05-17,,Sulfa drugs; NSAIDs,900-11-5850,I10; J45.909
