Policy Number,Trans Code,Trans Date,Policy Eff Date,Policy Exp Date,LOB Code,Policy Holder Name,Carrier,Bill Type,Premium,Comm Percent,Comm Amount,Producer Code
VN863676797,New Business,2025-01-25,2025-02-09,2026-02-09,PROP,"Marchetti Welding, LLC",Valebrook National,A,48340.1,10,4834.01,HFN-04
VN807791927,RWL,2025-01-26,2025-01-29,2026-01-29,PAUTO,Freya Rasmussen,Valebrook National,D,2359.38,20%,471.88,HFN-04
PI-8071041,RWL,2025-01-26,2025-01-28,2026-01-28,CPROP,"Petrossian Foundry, LLC",Pelham Indemnity Group,AB,"$7,784.20",15,1167.63,HFN-04
VN315214209,New Business,2025-01-27,2025-02-08,2025-08-09,HO,Noor Nakagawa,Valebrook Nat'l,DB,1004.8,15,150.72,GBY-22
KC0204509,Endorsement,2025-01-27,2025-01-19,2025-04-21,Personal Auto,Terrence Novotny,Kemwood Casualty,D,-$153.60,12%,-$18.43,GBY-22
KC2510753,Cancellation,2025-01-27,01/24/2025,,WORK,"Trask Bakery, Co",KEMWOOD CAS,Direct,-1706.68,12.5,-213.33,GBY-06
PI-0428293,N/B,2025-01-28,2025-02-06,2026-02-06,Commercial Property,"Underhill Freight, LLC",PELHAM IND,A,"$30,097.04",12.5,"3,762.13",TRW-02
AM-23956033,RWL,2025-01-28,2025-02-13,2026-02-13,PROP,"Wexler Foundry, LLC",ardsley mutual,D,"8,851.57",15,1327.74,GBY-22
SFM32552599,endorsement,2025-01-28,2025-01-27,,WORKERS COMPENSATION,"Petrossian Millwork, LLC",Stanwick F & M,Agency Bill,841.13,0.15,126.17,MCL-15
AM-41923973,Endorsement,2025-01-28,2025-01-28,,Commercial Property,"Boyne Haulage, LLC",ARDSLEY MUTUAL INS CO,Direct,"-1,452.37",12.5,-$181.55,GBY-22
NS-480218,Cancel,2025-01-29,2025-01-21,,Umbrella,"Calloway Haulage, LLC",NORTHGATE SPEC,DIRECT BILL,-509.12,12.5,-63.64,MCL-01
SFM32552599,endorsement,2025-01-29,01/29/2025,2025-11-13,WORK,"Petrossian Millwork, LLC",Stanwick Fire & Marine,AGENCY BILL,940.44,15,141.07,MCL-15
VN442938317,Renewal,2025-01-29,02/02/2025,2026-02-02,CGL,"Arbogast Plumbing & Heating, Inc",Valebrook,Direct Bill,34079.91,12,"$4,089.59",
NS-012412,Renewal,2025-01-29,2025-02-16,2026-02-16,General Liability,"Calloway Foundry, Inc",Northgate Specialty Lines,AGENCY BILL,42420.67,12,5090.48,GBY-06
VN071133188,NEW,2025-01-30,2025-02-15,2026-02-15,Gen Liab,Standish Electrical,Valebrook National,AB,47572.73,17.5,8325.23,TRW-08
KC8770987,RWL,2025-01-31,2025-02-05,2026-02-05,WC,Arbogast Roofing,Kemwood Casualty Co,Direct Bill,14493.93,15,2174.09,TRW-02
KC3349165,NBS,2025-01-31,2025-02-16,2026-02-16,CGL,"Ostrander Fabrication, Inc",Kemwood Casualty Co,D,58867.59,12,7064.11,HFN-04
NS-682740,RWL,2025-02-01,2025-02-19,2026-02-19,PAUTO,Ingrid Oyelaran,Northgate Specialty,D,3128.72,10,$312.87,
KC3328306,Renewal,2025-02-02,2025-02-20,02/20/2026,Work Comp,"Renfro Excavating, LLC",Kemwood Casualty,Direct,49958.78,10,4995.88,GBY-22
VN911846037,NBS,2025-02-02,2025-02-19,2026-02-19,CAUTO,Bramble Cabinetry,Valebrook National,A,26490.49,0.1,2649.05,TRW-02
VN270793491,PCH,2025-02-02,2025-01-30,2025-04-25,HO3,"Falkenrath, Rutger",VALEBROOK NATL,AGENCY BILL,$439.15,12,52.7,TRW-02
NS-823066,RWL,2025-02-02,02/14/2025,2026-02-14,HO3,Vidal Novotny,Northgate Specialty,A,"3,695.35",0.2,$739.07,MCL-01
KC7844848,RWL,2025-02-02,2025-02-16,2026-02-16,PAUTO,Priya Sandoval,KEMWOOD CAS,DIRECT BILL,3848.62,10,$384.86,GBY-06
SFM22128484,END,2025-02-02,2025-01-26,2025-09-10,WC,"Trask Welding, Corp",Stanwick Fire & Marine,A,-3638.06,0.15,-545.71,
NS-872548,Policy Change,2025-02-03,01/25/2025,,Umbrella,"Rennick Plumbing & Heating, LLC",Northgate Specialty Lines,D,3009.14,10,$300.91,MCL-15
AM-24710707,PCH,2025-02-04,01/30/2025,2025-07-10,Auto,Josefa Okonkwo,Ardsley Mutual,Direct,50.53,17.5,$8.84,TRW-02
SFM92401119,Non-Renewal,2025-02-04,2025-04-19,,Gen Liab,Fairweather Auto Body,Stanwick Fire & Marine,DIRECT BILL,0,15,$0.00,GBY-06
KC9456849,endorsement,2025-02-04,2025-01-27,,Umbrella,MARCHETTI EXCAVATING LLC,Kemwood Casualty,Agency Bill,2068.62,0.125,258.58,
SFM28951148,RWL,2025-02-04,2025-02-17,2025-08-18,Auto,Vidal Lindgren,Stanwick Fire & Marine,D,1168.17,15,175.23,GBY-06
KC4296054,REI,2025-02-06,2025-02-22,2025-07-13,Commercial Property,Rennick Freight,Kemwood Casualty,Direct Bill,"$1,536.16",10,153.62,
SFM90223197,PCH,2025-02-06,2025-01-28,,UMBR,"Whitcomb Contracting, LLC",STANWICK F&M,Agency Bill,"4,257.81",10,425.78,TRW-08
KC6122066,NBS,2025-02-06,2025-02-18,02/18/2026,Gen Liab,"Wexler Roofing, LLC",Kemwood,A,"69,732.96",.1,6973.3,MCL-01
PI-0345778,PCH,2025-02-06,2025-01-31,,WC,"Kowalczyk Produce, LLC",Pelham Indemnity,AB,"$2,328.07",10,$232.81,MCL-15
KC6921184,Renewal,2025-02-07,2025-02-14,2026-02-14,BAUTO,"Calloway Roofing, Inc",Kemwood Casualty,Direct,17037.16,.125,2129.65,GBY-06
VN483460542,NBS,2025-02-07,2025-02-16,2026-02-16,GL,"Halvorsen Bakery, Co",VALEBROOK NATL,DB,"$72,815.91",12.5%,"$9,101.99",GBY-22
KC1176024,PCH,2025-02-08,2025-02-05,2025-05-06,Gen Liab,"Trask Printing, Inc",Kemwood,D,"-2,643.42",0.15,-396.51,MCL-15
SFM43950006,PCH,2025-02-09,02/04/2025,2025-08-04,CGL,WHITCOMB PRINTING CORP,Stanwick Fire & Marine,D,-8731.69,0.15,-1309.75,GBY-22
PI-2527603,RWL,2025-02-09,2025-02-09,2026-02-09,CPROP,Dupree Auto Body,PELHAM IND,Direct,"$18,477.00",15,2771.55,MCL-01
VN894442528,NBS,2025-02-09,2025-02-09,2026-02-09,Workers Comp,"Halvorsen Dairy, LLC",Valebrook,Direct Bill,72274.8,15,10841.22,TRW-02
NS-928579,Policy Change,2025-02-09,2025-02-09,2025-06-07,Auto,"Adeyemi, Emeric",Northgate Specialty Lines,Direct Bill,192.60,17.5,33.71,HFN-11
NS-872548,END,2025-02-09,2025-02-07,2025-10-20,Umbrella,"Rennick Plumbing & Heating, LLC",NORTHGATE SPEC,Direct Bill,2944.03,,294.4,
SFM95382168,XLC,2025-02-09,2025-02-04,,WORK,"Standish Haulage, Inc",Stanwick F & M,Direct,-27179.7,10,"-$2,717.97",TRW-08
VN599127392,Rewrite,2025-02-09,2025-02-08,2026-02-08,Commercial Auto,"Boyne Produce, Inc",Valebrook National,A,"44,849.57",12.5,5606.2,HFN-11
PI-7398808,RWL,2025-02-09,2025-02-18,2025-08-19,PAUTO,Josefa Thorne,PELHAM IND,Direct Bill,"4,034.76",15,$605.21,MCL-15
KC2779576,Renew,2025-02-10,02/14/2025,2026-02-14,Commercial Property,Ferraro Landscaping,Kemwood Casualty,A,23057.57,0.125,"$2,882.20",GBY-06
PI-9118699,Renew,2025-02-10,02/17/2025,2026-02-17,Comm Prop,LINDQVIST EXCAVATING CO,Pelham Indemnity,Direct Bill,76750.48,12.5,9593.81,HFN-11
AM-15965504,Policy Change,2025-02-10,2025-02-08,2025-04-19,PAUTO,Freya Petrakis,ARDSLEY MUTUAL INS CO,Direct Bill,-377.22,15,-56.58,
SFM88352497,PCH,2025-02-11,2025-02-02,2026-01-04,General Liability,"Ostrander Cold Storage, LLC",Stanwick Fire and Marine,A,-7783.96,.2,"-$1,556.79",TRW-02
VN376382480,Renewal,2025-02-11,2025-03-01,2026-03-01,Auto,MARCHETTI MILLWORK LLC,Valebrook,A,"$64,884.83",12,"$7,786.18",GBY-06
NS-776192,PCH,2025-02-11,02/07/2025,,General Liability,"Ostrander Welding, LLC",NORTHGATE SPEC,AGENCY BILL,-1217.91,15,-182.69,MCL-15
KC7642226,PCH,2025-02-12,2025-02-10,2025-07-09,CGL,"Ashby Freight, Co",KEMWOOD CAS,A,1544.04,20,308.81,MCL-15
VN424934862,Endorsement,2025-02-12,02/06/2025,2026-01-14,CPROP,"Ashby Freight, Corp",VALEBROOK NATL,DIRECT BILL,8295.26,15,1244.29,MCL-01
SFM37808329,NEW,2025-02-12,2025-02-25,2026-02-25,General Liability,"Calloway Bakery, LLC",Stanwick Fire & Marine,Direct,55188.77,15,8278.32,GBY-06
SFM51027869,New Business,2025-02-13,2025-02-15,2026-02-15,General Liability,TRASK BAKERY LLC,STANWICK F&M,Direct Bill,13115.97,17.5,2295.29,TRW-02
NS-480572,Renewal,2025-02-13,2025-02-13,2026-02-13,HOME,"Petrakis, Beatriz",NORTHGATE SPEC,Direct Bill,3586.31,17.5,$627.60,TRW-02
VN234092119,REN,2025-02-13,2025-03-02,03/02/2026,General Liability,"Underhill Roofing, Ltd",Valebrook National,D,25613.76,12,3073.65,MCL-15
SFM37083631,N/B,2025-02-14,2025-02-18,2026-02-18,Comm Auto,"Renfro Contracting, Co",Stanwick F & M,A,68323.13,20,"13,664.63",GBY-22
KC6394210,NBS,2025-02-15,2025-02-23,2026-02-23,PPA,Noor Lindgren,KEMWOOD CAS,Direct Bill,2700.83,10,270.08,GBY-22
SFM84370561,Cancellation,2025-02-16,2025-02-10,,CGL,"Calloway Machine Works, LLC",Stanwick Fire & Marine,AGENCY BILL,"-$22,271.85",15%,-3340.78,MCL-01
AM-35923862,NBS,2025-02-16,2025-03-02,2026-03-02,Workers Comp,Marchetti Produce,Ardsley Mut,D,"71,263.15",20,14252.63,HFN-11
KC4482871,NBS,2025-02-17,02/20/2025,2026-02-20,Auto,Casimir Sandoval,KEMWOOD CAS,Direct Bill,2482.43,15,372.36,GBY-06
VN270793491,Endorsement,2025-02-17,2025-02-13,,Homeowners,Rutger Falkenrath,Valebrook National,AGENCY BILL,$240.35,12,28.84,TRW-02
SFM91793064,Endorsement,2025-02-17,2025-02-11,,Comm Umbrella,"Kowalczyk Cabinetry, LLC",Stanwick Fire & Marine,D,10254.85,0.15,1538.23,TRW-02
VN269718219,PCH,2025-02-18,2025-02-11,2025-05-24,Auto,Adaeze Adeyemi,Valebrook National,A,402.28,15,60.34,TRW-08
PI-9330633,XLN,2025-02-18,2025-02-12,,Personal Auto,Vidal Wojcik,PELHAM IND,D,-683.82,15,-102.57,GBY-22
VN935476750,NEW,2025-02-19,2025-03-04,03/04/2026,General Liability,"Petrossian Auto Body, Corp",VALEBROOK NATL,A,32492.52,,4873.88,MCL-15
PI-8938936,Endorsement,2025-02-20,2025-02-11,2025-04-28,PAUTO,Noor Wojcik,Pelham Indemnity,Agency Bill,-468.67,12,-56.24,TRW-08
PI-8258609,NEW,2025-02-21,03/07/2025,2026-03-07,UMB,"Boyne Landscaping, Co",Pelham Indemnity Group,AGENCY BILL,22409.84,,2240.98,MCL-01
KC9089444,PCH,2025-02-21,2025-02-20,01/07/2026,WORK,"Boyne Foundry, Inc",Kemwood Casualty,A,2880.85,15,$432.13,TRW-08
SFM43975110,Policy Change,2025-02-21,2025-02-13,2025-06-01,General Liability,"Underhill Auto Body, LLC",STANWICK F&M,Direct Bill,1579.8,0.1,$157.98,TRW-08
PI-9544507,Renewal,2025-02-21,2025-03-01,2026-03-01,PPA,Freya Wojcik,Pelham Ind.,DIRECT BILL,1663.77,20,332.75,TRW-02
VN370295087,NBS,2025-02-22,2025-03-09,2026-03-09,WORK,TRASK DAIRY CORP,Valebrook National,Agency,"73,835.18",20,"$14,767.04",GBY-06
SFM95382168,Premium Audit,2025-02-22,2024-11-28,,WORK,"Standish Haulage, Inc",STANWICK F&M,Direct Bill,"$6,169.75",10,616.98,TRW-08
PI-3710851,NBS,2025-02-22,2025-03-08,2026-03-08,BAUTO,"Halvorsen Millwork, Corp",Pelham Ind.,A,36065.31,0.15,"5,409.80",MCL-15
NS-788811,Cancel,2025-02-23,2025-02-19,,CGL,"Boyne Roofing, Co",Northgate Specialty,AB,"-$2,206.03",15,-330.9,HFN-04
KC1527568,NBS,2025-02-23,2025-03-12,2026-03-12,CGL,Marchetti Cabinetry,KEMWOOD CAS,Agency,"47,800.57",15,"$7,170.09",TRW-02
SFM82549307,PCH,2025-02-24,2025-02-17,06/04/2025,PPA,"Nakagawa, Noor",Stanwick Fire & Marine,D,492.77,12,59.13,HFN-11
PI-9213907,New Business,2025-02-24,2025-03-10,2026-03-10,Homeowners,Beatriz Sturgeon,Pelham Indemnity,Direct,654.91,15,98.24,HFN-04
SFM81229216,New Business,2025-02-24,2025-03-02,2026-03-02,CGL,"Ashby Roofing, Corp",Stanwick Fire & Marine,Agency,71119.31,.1,7111.93,GBY-22
NS-066294,CAN,2025-02-24,2025-02-17,,HOME,Freya Aldridge,NORTHGATE SPEC,A,-607.95,15,-91.19,GBY-06
KC0823088,NBS,2025-02-25,2025-03-08,2026-03-08,WORK,"Renfro Cabinetry, LLC",Kemwood Casualty,AB,65713.53,0.12,7885.62,MCL-01
VN252744419,PCH,2025-02-25,2025-02-25,,Work Comp,Fairweather Cabinetry,VALEBROOK NATL,D,"4,819.78",0.2,963.96,MCL-15
NS-485986,New Business,2025-02-25,2025-03-13,2026-03-13,Personal Auto,Desmond Oyelaran,NORTHGATE SPEC,Direct,2812.52,12,$337.50,HFN-11
KC2799797,New Business,2025-02-25,2025-02-25,2026-02-25,WC,Halvorsen Printing,Kemwood Casualty,Direct,"24,058.07",12,"$2,886.97",GBY-22
SFM02461364,endorsement,2025-02-26,2025-02-20,,Comm Prop,"Standish Excavating, Inc",Stanwick Fire & Marine,DB,6452.93,,1129.26,GBY-22
AM-04069281,New Business,2025-02-27,03/15/2025,2026-03-15,Homeowners,,Ardsley Mutual,DIRECT BILL,3650.58,12%,438.07,TRW-08
SFM31518046,END,2025-02-27,2025-02-25,2025-04-07,PAUTO,"Sandoval, Bartholomew",Stanwick Fire & Marine,Direct Bill,13.88,12,1.67,MCL-01
SFM38920738,New Business,2025-02-28,2025-03-01,2026-03-01,WC,"Kowalczyk Machine Works, Ltd",STANWICK F&M,DIRECT BILL,"$22,443.40",.15,3366.51,TRW-08
NS-811413,New Business,2025-02-28,2025-02-28,2026-02-28,BAUTO,"Ashby Printing, LLC",Northgate Specialty,A,55193.42,0.12,"6,623.21",TRW-02
KC6309188,Endorsement,2025-02-28,2025-02-26,,Workers Comp,"Arbogast Auto Body, LLC",KEMWOOD CAS,DIRECT BILL,"-$6,622.80",15,-993.42,HFN-04
VN921739236,PCH,2025-02-28,2025-02-19,,WORK,"Petrossian Contracting, Corp",VALEBROOK NATL,Direct,-10500.18,.1,-1050.02,MCL-01
NS-480218,REI,2025-03-01,2025-02-13,2025-04-24,UMB,"Calloway Haulage, LLC",NORTHGATE SPEC,Direct Bill,509.12,12.5%,$63.64,MCL-01
AM-86516015,Premium Audit,2025-03-01,2024-12-02,,WORK,"Kowalczyk Landscaping, Co",Ardsley Mutual,Agency Bill,"-$3,169.98",15,-475.5,GBY-22
PI-1270836,REN,2025-03-01,2025-03-05,2026-03-05,Homeowners,Bartholomew Castellanos,Pelham Ind.,DIRECT BILL,436.89,20,87.38,GBY-22
KC5273957,NBS,2025-03-02,2025-03-14,2026-03-14,Umbrella,"Ferraro Dairy, Inc",Kemwood Casualty Co,Agency,37714.95,15,5657.24,HFN-11
PI-0620366,RWL,2025-03-02,2025-03-04,2026-03-04,PROP,"Tolliver Cabinetry, Inc",Pelham Indemnity,D,"32,491.32",0.15,4873.7,MCL-01
PI-0821547,RWL,2025-03-02,2025-03-04,2026-03-04,WC,"Bramble Dairy, Corp",Pelham Indemnity,Direct Bill,4957.67,.15,743.65,HFN-11
KC5431532,Endorsement,2025-03-02,2025-02-27,2025-12-18,Commercial Property,FAIRWEATHER ROOFING CO,KEMWOOD CAS,A,-3414.79,0.1,-$341.48,
KC3944402,New Business,2025-03-02,2025-03-07,2026-03-07,WC,"Tolliver Roofing, Inc",Kemwood Casualty,D,57763.69,17.5,10108.65,MCL-01
PI-4377229,REN,2025-03-02,2025-03-06,2026-03-06,Comm Prop,"Tolliver Cabinetry, Corp",Pelham Indemnity,Direct Bill,47861.57,12.5,5982.7,MCL-01
NS-140605,NON RENEW,2025-03-03,2025-05-11,,WC,"Trask Foundry, Ltd",NORTHGATE SPEC,A,0,12,$0.00,GBY-22
KC4204142,Renewal,2025-03-03,03/07/2025,2026-03-07,Comm Prop,"Renfro Fabrication, Co",KEMWOOD CAS,D,"$34,269.41",20,6853.88,TRW-02
KC2290055,END,2025-03-04,2025-03-04,,Personal Auto,Freya Aldridge,Kemwood Casualty,D,-93.46,17.5,-16.36,TRW-02
VN863676797,PCH,2025-03-04,2025-02-28,2026-02-09,Comm Prop,"Marchetti Welding, LLC",VALEBROOK NATL,A,"$1,591.36",10,159.14,HFN-04
NS-890029,RWL,2025-03-04,2025-03-16,2026-03-16,BAUTO,Trask Haulage,NORTHGATE SPEC,Agency Bill,14634.64,10,1463.46,GBY-22
SFM49730754,RWL,2025-03-05,2025-03-07,2026-03-07,PROP,"Bramble Printing, Ltd",Stanwick Fire & Marine,Agency Bill,"$8,666.53",0.12,"$1,039.98",TRW-08
KC2348227,PAB,2025-03-05,2025-01-28,,Work Comp,"Ashby Excavating, LLC",KEMWOOD CAS,A,-2335.8,.15,-350.37,GBY-06
VN512182951,PCH,2025-03-05,2025-02-25,05/05/2025,HOME,Casimir Aldridge,VALEBROOK NATL,Direct,$161.91,10,16.19,HFN-11
SFM32968739,NBS,2025-03-05,2025-03-13,2025-09-11,Homeowners,Amara Guerrero,Stanwick F & M,A,"3,501.27",10,$350.13,TRW-08
AM-76406752,PCH,2025-03-06,03/01/2025,2025-07-26,WORK,"Marchetti Fabrication, Ltd",ARDSLEY MUTUAL INS CO,AB,4019.77,10,401.98,TRW-08
PI-9967983,NBS,2025-03-06,2025-03-06,2026-03-06,General Liability,Trask Machine Works,Pelham Indemnity,D,54393.04,12,6527.16,HFN-11
SFM06043624,Renew,2025-03-06,2025-03-15,2026-03-15,Work Comp,"Kessler Printing, Corp",Stanwick Fire & Marine,DIRECT BILL,"$12,529.03",15,1879.35,MCL-15
KC1757033,RWL,2025-03-06,2025-03-10,2026-03-10,Comm Auto,"Halvorsen Excavating, Co",Kemwood Casualty,Agency Bill,"$13,926.59",15,2088.99,TRW-08
PI-4040253,PCH,2025-03-07,02/27/2025,2026-01-23,Personal Auto,Solveig Halloran,Pelham Indemnity,D,608.61,17.5,106.51,GBY-22
PI-9330633,REI,2025-03-07,2025-03-17,2025-09-25,Personal Auto,Vidal Wojcik,PELHAM IND,D,683.82,15,102.57,GBY-22
SFM90244528,RWL,2025-03-08,2025-03-17,03/17/2026,CGL,"Halvorsen Auto Body, Co",Stanwick Fire & Marine,Agency Bill,"$12,205.78",10,1220.58,GBY-06
SFM94999848,NBS,2025-03-08,03/12/2025,2026-03-12,BAUTO,"Boyne Freight, Corp",Stanwick Fire and Marine,DIRECT BILL,23135.88,12,"$2,776.31",GBY-22
SFM10953232,NBS,2025-03-08,2025-03-12,2026-03-12,Commercial Auto,"Nyquist Haulage, LLC",STANWICK F&M,AGENCY BILL,"$14,110.17",12,1693.22,MCL-15
KC4990163,RWL,2025-03-09,03/09/2025,2026-03-09,Gen Liab,"Tolliver Roofing, LLC",KEMWOOD CAS,AB,75421.63,15,11313.24,GBY-06
KC7371443,Policy Change,2025-03-09,2025-03-01,06/28/2025,Commercial Auto,"Fairweather Welding, LLC",Kemwood Casualty,A,-6287.52,0.125,-785.94,
SFM43292813,N/B,2025-03-10,2025-03-22,2026-03-22,Personal Auto,Beatriz Guerrero,Stanwick F & M,Direct,$443.92,,44.39,GBY-06
VN928930496,Endorsement,2025-03-10,2025-03-06,,GL,"Halvorsen Auto Body, Inc",VALEBROOK NATL,DB,-3995.36,12.5,-499.42,
VN415713182,END,2025-03-11,2025-03-09,2025-04-20,General Liability,"Wexler Freight, LLC",VALEBROOK NATL,Agency Bill,"$10,133.58",15,"$1,520.04",
AM-09188581,PCH,2025-03-12,2025-03-05,2026-01-22,CGL,"Underhill Dairy, Inc",ARDSLEY MUTUAL INS CO,Agency Bill,1872.68,10,187.27,MCL-15
AM-72563690,Endorsement,2025-03-13,2025-03-08,,UMBR,"Kessler Roofing, LLC",Ardsley Mut,Agency Bill,798.93,12,95.87,TRW-08
AM-44575271,END,2025-03-14,2025-03-07,2026-01-23,WORK,"Standish Machine Works, LLC",Ardsley Mutual,A,"3,252.87",0.175,569.25,HFN-11
AM-04251552,NBS,2025-03-14,2025-03-28,2026-03-28,CAUTO,"Nyquist Printing, Inc",Ardsley Mutual,AGENCY BILL,"35,052.85",12,"$4,206.34",MCL-15
NS-517719,Renewal,2025-03-15,2025-03-26,2026-03-26,BAUTO,Wexler Cold Storage,Northgate Specialty,A,11831.23,12,"$1,419.75",TRW-02
KC3897834,PCH,2025-03-15,03/07/2025,,Commercial Auto,"Wexler Millwork, Co",Kemwood Casualty,Direct Bill,"-$4,069.99",,-712.25,HFN-11
VN228262828,Renewal,2025-03-16,2025-04-02,04/02/2026,WORK,"Halvorsen Excavating, Inc",Valebrook,DB,42642.85,17.5,7462.5,HFN-04
KC8770987,Audit,2025-03-17,2025-02-05,,Work Comp,Arbogast Roofing,Kemwood Casualty,D,2546.88,15,382.03,TRW-02
KC2290055,END,2025-03-18,2025-03-13,,PAUTO,Freya Aldridge,Kemwood Casualty Co,Direct Bill,129.1,17.5,22.59,TRW-02
SFM84370561,REI,2025-03-19,2025-03-06,2025-09-04,Gen Liab,"Calloway Machine Works, LLC",STANWICK F&M,Agency Bill,"$22,271.85",0.15,3340.78,MCL-01
SFM82549307,Endorsement,2025-03-20,2025-03-17,06/04/2025,Personal Auto,Noor Nakagawa,STANWICK F&M,Direct Bill,-699.16,12,-$83.90,HFN-11
KC2290055,Endorsement,2025-03-20,2025-03-20,,Personal Auto,Freya Aldridge,Kemwood Casualty,Direct Bill,-229.12,17.5,-40.1,TRW-02
VN680433614,N/B,2025-03-20,2025-04-01,04/01/2026,WC,"Boyne Millwork, LLC",Valebrook National,Direct Bill,"$7,852.95",0.175,"$1,374.27",GBY-06
AM-61010900,N/B,2025-03-21,2025-03-26,2026-03-26,WC,"Tolliver Machine Works, Co",Ardsley Mutual,Agency,7375.61,15,1106.34,HFN-04
SFM59163534,Renewal,2025-03-21,2025-03-23,2026-03-23,CGL,"Renfro Fabrication, Ltd",Stanwick Fire & Marine,Agency Bill,43446.38,,"5,430.80",GBY-06
NS-364407,END,2025-03-22,2025-03-21,2025-07-14,Umbrella,"Boyne Excavating, LLC",Northgate Specialty Lines,D,"9,643.15",.12,1157.18,TRW-08
KC4057722,Policy Change,2025-03-22,03/13/2025,,CPROP,"Nyquist Excavating, Co",Kemwood,Agency Bill,"2,336.16",,467.23,TRW-08
SFM94999848,endorsement,2025-03-22,2025-03-22,2026-03-12,BAUTO,"Boyne Freight, Corp",STANWICK F&M,D,-1061.83,12%,-127.42,GBY-22
VN424249654,New Business,2025-03-24,03/31/2025,2026-03-31,CGL,"Bramble Welding, Co",Valebrook Nat'l,A,43060.53,12,5167.26,MCL-01
NS-291136,Renewal,2025-03-25,2025-04-11,2026-04-11,General Liability,"Rennick Millwork, LLC",Northgate Specialty Lines,A,37256.42,0.125,4657.05,MCL-15
NS-165941,END,2025-03-25,2025-03-17,09/02/2025,CGL,"Ferraro Dairy, Co",Northgate Specialty Lines,A,-4005.55,10,-400.56,MCL-15
PI-3623902,Endorsement,2025-03-25,2025-03-23,04/25/2025,CAUTO,"Halvorsen Excavating, Inc",Pelham Indemnity Group,Direct Bill,8282.8,0.2,"$1,656.56",MCL-15
SFM50617918,NBS,2025-03-26,2025-04-09,2026-04-09,PROP,"Fairweather Auto Body, LLC",STANWICK F&M,Agency,"67,668.11",0.125,"$8,458.51",HFN-04
AM-24710707,Policy Change,2025-03-26,2025-03-21,,PPA,Josefa Okonkwo,Ardsley Mutual Insurance Company,Direct Bill,119.4,17.5,20.90,TRW-02
SFM32516822,Cancellation,2025-03-28,2025-03-21,,Gen Liab,"Calloway Haulage, Corp",Stanwick F & M,Direct Bill,"-$29,264.95",0.1,"-$2,926.50",HFN-11
PI-5980246,RWL,2025-03-29,2025-04-01,2026-04-01,BAUTO,"Petrossian Machine Works, LLC",PELHAM IND,Agency,38120.11,17.5,6671.02,GBY-22
VN928930496,END,2025-03-30,2025-03-24,,CGL,"Halvorsen Auto Body, Inc",VALEBROOK NATL,D,2331.73,0.125,$291.47,MCL-15
KC8631460,PCH,2025-03-30,2025-03-25,2026-01-20,Workers Comp,"Delacroix Contracting, Inc",Kemwood,Direct Bill,4278.04,10,427.8,MCL-01
PI-4040253,XLC,2025-03-30,03/18/2025,,PPA,Solveig Halloran,Pelham Indemnity,Direct,-2996.33,17.5,-$524.36,GBY-22
AM-22493265,Cancel,2025-03-30,03/18/2025,,BAUTO,"Calloway Fabrication, Ltd",ARDSLEY MUTUAL INS CO,DB,-$191.10,15,-28.66,MCL-01
KC6921184,END,2025-03-30,2025-03-22,02/14/2026,Commercial Auto,"Calloway Roofing, Inc",Kemwood Casualty Co,Direct,"1,259.77",12.5,157.47,GBY-06
NS-003175,PAB,2025-03-31,02/19/2025,,WORKERS COMPENSATION,"Halvorsen Plumbing & Heating, Corp",NORTHGATE SPEC,D,"$6,645.22",12.5,830.65,GBY-22
PI-1726057,endorsement,2025-03-31,2025-03-28,,CGL,Dupree Contracting,PELHAM IND,AB,-4164.65,12,-499.76,HFN-11
VN028603407,PCH,2025-04-01,2025-03-26,2025-11-24,HOME,Malachy Guerrero,VALEBROOK NATL,D,-217.48,0.175,-38.06,HFN-11
AM-72563690,REN,2025-04-01,2025-04-11,2026-04-11,UMBR,"Kessler Roofing, LLC",Ardsley Mut,Agency Bill,36964.05,12,4435.69,TRW-08
NS-075585,CAN,2025-04-01,2025-03-25,,WC,"Boyne Plumbing & Heating, Co",NORTHGATE SPEC,D,-5958.5,12,-$715.02,HFN-11
AM-99327016,END,2025-04-01,2025-04-01,,PROP,"Delacroix Bakery, Corp",ARDSLEY MUTUAL INS CO,Direct Bill,2426.29,15,363.94,HFN-11
AM-96774600,PCH,2025-04-02,2025-03-30,,HO3,Ingrid Halloran,Ardsley Mutual,Direct,360.27,15,54.04,
PI-0345778,REN,2025-04-02,2025-04-14,2026-04-14,WC,"Kowalczyk Produce, LLC",Pelham Ind.,Agency Bill,"$47,862.69",10,"$4,786.27",MCL-15
AM-44597277,Renewal,2025-04-03,2025-04-18,04/18/2026,CAUTO,"Renfro Printing, LLC",Ardsley Mutual,A,"$19,910.20",10,1991.02,MCL-15
VN197290074,Policy Change,2025-04-03,2025-03-31,2025-11-29,GL,"Rennick Printing, Inc",Valebrook National,Agency,7062.49,15%,1059.37,TRW-02
NS-149141,Endorsement,2025-04-04,2025-04-02,,GL,Fairweather Fabrication,NORTHGATE SPEC,DB,"$1,539.33",17.5%,$269.38,GBY-06
PI-4496495,RWL,2025-04-04,2025-04-05,2026-04-05,WORK,"Fairweather Plumbing & Heating, Co",Pelham Indemnity,DB,"52,880.25",12.5,"$6,610.03",TRW-02
NS-096203,Endorsement,2025-04-04,04/04/2025,,Comm Prop,"Bramble Plumbing & Heating, Inc",Northgate Specialty Lines,A,-3695.32,12,-443.44,
